,n,total,Accuracy mean,Accuracy std,G-Mean mean,G-Mean std,F1 mean,F1 std
Baseline,10,10,0.51475,0.01019871996325465,0.16142425367259639,0.06184398224785084,0.056630854389358075,0.0380598580603457
SMOTE,10,10,0.90855,0.018945022799904176,0.9070060190978408,0.021653363102590837,0.9044100106838655,0.024646129954781926
Balanced Weights,10,10,0.91225,0.01581358417451416,0.9113394099424431,0.01761879948488735,0.9097628323600064,0.019951557028118502
BMR,10,10,0.89775,0.04072485590998314,0.8938154935799449,0.04910604665686589,0.8898155586063,0.057751690739654575
Threshold,10,10,0.89775,0.04072485590998314,0.8938154935799449,0.04910604665686589,0.8898155586063,0.057751690739654575
Slacks Deltas,8,10,0.9055625,0.009236718263848599,0.9035021909414603,0.00964607775098855,0.9103858580393467,0.007415309428276067
Min Deltas,10,10,0.9103999999999999,0.015293063060674867,0.9089068410120159,0.016379335272019485,0.9139458018697901,0.012896639644676767
Max Deltas,10,10,0.88615,0.05272573164762892,0.8794360232510968,0.06568427013031168,0.8725136626275282,0.078333230812767
Avg Deltas,10,10,0.8912000000000001,0.04647054024983045,0.8857720376143627,0.056379639552866075,0.8805301066540719,0.06670814982610095
F Deltas,10,10,0.90825,0.01599348825824645,0.9066436822799165,0.017321578767968054,0.9118346984547372,0.013127227595744567
CP Sum,10,10,0.8983000000000001,0.04084333210914333,0.8943835049012296,0.04917255513429938,0.8904396031767998,0.0577949317255407
CP Minimax,10,10,0.8909,0.02814427117549857,0.8864250386822876,0.03271681180312231,0.8992786727654867,0.02150655158217044
DKW Sum,10,10,0.8983000000000001,0.04084333210914333,0.8943835049012296,0.04917255513429938,0.8904396031767998,0.0577949317255407
DKW Minimax,10,10,0.8921999999999999,0.027441047922976834,0.8879776710301959,0.031849572677911775,0.9001946946473971,0.020923717151239234
