,n,total,Accuracy mean,Accuracy std,G-Mean mean,G-Mean std,F1 mean,F1 std
Baseline,10,10,0.5308316430020285,0.04011523369885599,0.1416226310301382,0.2042546576422739,0.09618191447107109,0.15635633787443096
SMOTE,10,10,0.5963488843813387,0.02276870620754932,0.4989232522601867,0.0382138933677575,0.40116723729247045,0.048310635523716276
Balanced Weights,10,10,0.588235294117647,0.01505818624159574,0.4833102241891568,0.044481887941171354,0.3820457046284601,0.059739593342031355
BMR,10,10,0.6791075050709939,0.027511200047370232,0.6582783081395419,0.03552014536915839,0.6166505802492491,0.04935157243137439
Threshold,10,10,0.678498985801217,0.024062149627145688,0.6579464207701016,0.03232220172264828,0.6185095474906734,0.0511945731136949
Slacks Deltas,1,10,0.6693711967545639,,0.6639946452260658,,0.6385809312638581,
Min Deltas,7,10,0.6725586786438714,0.02925061686392706,0.6415854327245784,0.057366732358780315,0.6064315840031956,0.09554452704371913
Max Deltas,7,10,0.6687916545928717,0.02966629473630334,0.6352464479737115,0.05791162987168136,0.6076983408073738,0.10729407855649929
Avg Deltas,7,10,0.6708200521587947,0.03307624027945445,0.6377588862315229,0.06167188699219399,0.6063059187963952,0.10553243963573336
F Deltas,7,10,0.682700666473486,0.0354990271367454,0.6582675801280367,0.06439084516460838,0.6319061693196405,0.1018075882711396
CP Sum,10,10,0.6764705882352942,0.017971648221774175,0.655294323875014,0.02121286185498351,0.6122144018778044,0.0285513544527631
CP Minimax,10,10,0.7022312373225152,0.023612421866384705,0.6995847803793127,0.02615558072728858,0.6894880888092649,0.038090507551668026
DKW Sum,10,10,0.679918864097363,0.027643816868203372,0.6603125912929634,0.03490855992682517,0.6198115081480697,0.048216273922650175
DKW Minimax,10,10,0.7016227180527383,0.024647789522893936,0.6989929686117513,0.026975716781965045,0.6865723039814159,0.03718323173315289
