,n,total,Accuracy mean,Accuracy std,G-Mean mean,G-Mean std,F1 mean,F1 std
Baseline,10,10,0.9171122994652405,0.02194034514276501,0.9170105913753158,0.022842489070855367,0.9137524899623747,0.024839668047301616
SMOTE,10,10,0.7933155080213903,0.09981418675216372,0.7687095103732507,0.12365380246428354,0.737977213791081,0.1491302767738776
Balanced Weights,10,10,0.9213903743315509,0.022235245817486878,0.921679991526962,0.022646730775496022,0.918968516379925,0.023986525777947878
BMR,10,10,0.8871657754010694,0.08577291171302481,0.8800905923877966,0.09806453874073649,0.8696173952892089,0.11374493802924802
Threshold,10,10,0.9358288770053476,0.06991749967007198,0.9327378725081379,0.07970087958017492,0.9299566632847368,0.09278565633521438
Slacks Deltas,9,10,0.9512774806892454,0.024093037416957692,0.9496681875570948,0.026772746224568957,0.9544874550461309,0.020878402273354815
Min Deltas,10,10,0.9550802139037431,0.01252854430716975,0.9546607966919479,0.012961377722794386,0.9570987913023556,0.011641470936664795
Max Deltas,10,10,0.8965240641711232,0.03951936381518595,0.8942455039994913,0.042612551487855116,0.8887397405562778,0.04846427990498092
Avg Deltas,10,10,0.9272727272727274,0.022256670501260047,0.9272016645066261,0.022827091120088155,0.9254796357129997,0.025489906637820962
F Deltas,10,10,0.9467914438502673,0.02894761508793597,0.9468899932393976,0.02918294938651396,0.9466918055222211,0.03145684582460087
CP Sum,10,10,0.9393048128342245,0.024246683593524485,0.9395670975914439,0.02436095056360854,0.9386338026402381,0.02638023339603637
CP Minimax,10,10,0.9475935828877005,0.01778962559696919,0.9456437416335938,0.02009066416330965,0.9511917944229973,0.01526715860916588
DKW Sum,10,10,0.9393048128342245,0.024246683593524485,0.9395670975914439,0.02436095056360854,0.9386338026402381,0.02638023339603637
DKW Minimax,10,10,0.9457219251336898,0.019650334772236804,0.943532578381572,0.02227969290305064,0.949620495982049,0.016758620937488374
