,n,total,Accuracy mean,Accuracy std,G-Mean mean,G-Mean std,F1 mean,F1 std
Baseline,10,10,0.827536231884058,0.06241052312934749,0.6236229095566251,0.15169359208437244,0.48579407174716094,0.1632104182752091
SMOTE,10,10,0.8043478260869567,0.020778563446962873,0.2999938807141447,0.319260327014451,0.2241961741961742,0.24025204205178924
Balanced Weights,10,10,0.7681159420289856,0.09216803878424597,0.6811503961099014,0.09595650132610302,0.4996911950069845,0.1032888216628094
BMR,10,10,0.8043478260869567,0.05807157140179376,0.6565899096650443,0.1122237124433144,0.49367238231324917,0.1057391472641065
Threshold,10,10,0.7869565217391304,0.0883014616232958,0.6867016291575746,0.09493390790241991,0.5164028830915682,0.09517485869545673
Slacks Deltas,8,10,0.8134057971014492,0.06947781776769284,0.703389575609735,0.060310296331245176,0.5483077600393942,0.0787548139043795
Min Deltas,9,10,0.7826086956521738,0.04525360868404637,0.6946620390633946,0.11218465917846085,0.5029713154713156,0.11124997216157129
Max Deltas,9,10,0.7697262479871175,0.09178743961352658,0.6621335875792214,0.12394218837654908,0.4805753018691956,0.10725303508760263
Avg Deltas,9,10,0.782608695652174,0.08293857349463477,0.662243657989031,0.12327882815039967,0.4857630680325716,0.10587448917048455
F Deltas,9,10,0.7826086956521738,0.04525360868404637,0.6946620390633946,0.11218465917846085,0.5029713154713156,0.11124997216157129
CP Sum,10,10,0.7768115942028986,0.07459037320045907,0.6475885106133836,0.0828557747668268,0.4712194803499151,0.06160809110593974
CP Minimax,10,10,0.7434782608695651,0.08507080406690969,0.713935517229759,0.04841101861563804,0.5117940734087909,0.05858037484648505
DKW Sum,10,10,0.7753623188405797,0.07334408913376318,0.6606351259693801,0.08534723734334261,0.48074328987372467,0.06933824795415383
DKW Minimax,10,10,0.7434782608695651,0.08507080406690969,0.713935517229759,0.04841101861563804,0.5117940734087909,0.05858037484648505
