,n,total,Accuracy mean,Accuracy std,G-Mean mean,G-Mean std,F1 mean,F1 std
Baseline,10,10,0.8915094339622642,0.02486067342899669,0.7892366862199841,0.0512024105893949,0.7292703662612725,0.06431244884573656
SMOTE,10,10,0.8377358490566038,0.03439049840123852,0.6880433231269766,0.08245364505091442,0.5854660803819229,0.09971941598439758
Balanced Weights,10,10,0.8462264150943396,0.028144214887125082,0.7988316619256434,0.07497431275431478,0.6794237748644056,0.07695001297764546
BMR,10,10,0.8443396226415094,0.0532273927038074,0.8420372405720405,0.030386566239765052,0.7186917502701247,0.05944052794828462
Threshold,10,10,0.8433962264150944,0.051518609852257584,0.8429834933959766,0.028089750501709452,0.7181157923356762,0.0555370490691497
Slacks Deltas,4,10,0.8867924528301887,0.03357571777368336,0.8195642026575116,0.047803876638612366,0.7426655533564243,0.0722371112093128
Min Deltas,10,10,0.8518867924528303,0.03503150299782042,0.8479437392189203,0.042445997327957785,0.7230730373119795,0.051052162011220585
Max Deltas,10,10,0.8613207547169811,0.05608603188837362,0.8308155845632212,0.04101161258039134,0.730607686443429,0.0653323765087379
Avg Deltas,10,10,0.8518867924528303,0.05262952306748545,0.8354005720229596,0.04837221727525203,0.7211980149964106,0.0653358120597245
F Deltas,10,10,0.8518867924528303,0.03503150299782042,0.8479437392189203,0.042445997327957785,0.7230730373119795,0.051052162011220585
CP Sum,10,10,0.8490566037735849,0.05205328728693977,0.8373522425327558,0.05106988116885147,0.7184616835774882,0.07006861215398602
CP Minimax,10,10,0.8179245283018869,0.028144214887125082,0.8469089488850423,0.023069270947186516,0.694215902545676,0.03317301703595041
DKW Sum,10,10,0.8452830188679246,0.0541392181551128,0.8477733918183759,0.02666733795670813,0.7235703377902217,0.06227802632026625
DKW Minimax,10,10,0.8179245283018869,0.028144214887125082,0.8469089488850423,0.023069270947186516,0.694215902545676,0.03317301703595041
