seed,method,fit,Accuracy,G-Mean,F1
0,Baseline,True,0.8391269199676638,0.41535379764109914,0.19865771812080538
0,SMOTE,True,0.8224198329291296,0.4545748811177768,0.2164090368608799
0,Balanced Weights,True,0.8402047965507949,0.4183570980571316,0.2018842530282638
0,BMR,True,0.8633791430881164,0.3708953028135178,0.18357487922705312
0,Threshold,True,0.8623012665049852,0.38320053727867365,0.19273301737756712
0,Slacks Deltas,True,0.7793047696038804,0.47804636757597385,0.20716360116166505
0,Min Deltas,True,0.7933171651845864,0.46701446249430445,0.2068252326783868
0,Max Deltas,True,0.8711937483158179,0.36937555850069753,0.18983050847457628
0,Avg Deltas,True,0.8701158717326866,0.3723655983699276,0.1912751677852349
0,F Deltas,True,0.7933171651845864,0.46701446249430445,0.2068252326783868
0,CP Sum,True,0.8399353274050121,0.41555869141216056,0.19946091644204852
0,CP Minimax,True,0.8170304500134734,0.4407893885164311,0.20211515863689777
0,DKW Sum,True,0.8399353274050121,0.41555869141216056,0.19946091644204852
0,DKW Minimax,True,0.8084074373484236,0.45056566206482135,0.2038073908174692
1,Baseline,True,0.8391269199676638,0.41535379764109914,0.19865771812080538
1,SMOTE,True,0.8224198329291296,0.4545748811177768,0.2164090368608799
1,Balanced Weights,True,0.8402047965507949,0.4183570980571316,0.2018842530282638
1,BMR,True,0.8633791430881164,0.3708953028135178,0.18357487922705312
1,Threshold,True,0.8623012665049852,0.38320053727867365,0.19273301737756712
1,Slacks Deltas,True,0.7793047696038804,0.47804636757597385,0.20716360116166505
1,Min Deltas,True,0.7933171651845864,0.46701446249430445,0.2068252326783868
1,Max Deltas,True,0.8711937483158179,0.36937555850069753,0.18983050847457628
1,Avg Deltas,True,0.8701158717326866,0.3723655983699276,0.1912751677852349
1,F Deltas,True,0.7933171651845864,0.46701446249430445,0.2068252326783868
1,CP Sum,True,0.8399353274050121,0.41555869141216056,0.19946091644204852
1,CP Minimax,True,0.8170304500134734,0.4407893885164311,0.20211515863689777
1,DKW Sum,True,0.8399353274050121,0.41555869141216056,0.19946091644204852
1,DKW Minimax,True,0.8084074373484236,0.45056566206482135,0.2038073908174692
2,Baseline,True,0.814874696847211,0.49580014593627475,0.24255788313120177
2,SMOTE,True,0.8175693883050391,0.4178655409987693,0.18531889290012032
2,Balanced Weights,True,0.8412826731339261,0.37227599939788486,0.1669024045261669
2,BMR,True,0.8129884128267313,0.49736455107993566,0.2423580786026201
2,Threshold,True,0.8129884128267313,0.49736455107993566,0.2423580786026201
2,Slacks Deltas,True,0.7275666936135813,0.5432990246200109,0.23000761614623
2,Min Deltas,True,0.7973592023713285,0.5212192697446524,0.24950099800399206
2,Max Deltas,True,0.8380490433845325,0.45655201108871313,0.23047375160051217
2,Avg Deltas,True,0.8380490433845325,0.45655201108871313,0.23047375160051217
2,F Deltas,True,0.7669091888978712,0.5426415565197864,0.247171453437772
2,CP Sum,True,0.8129884128267313,0.49736455107993566,0.2423580786026201
2,CP Minimax,True,0.8127189436809485,0.49511910145829086,0.24043715846994537
2,DKW Sum,True,0.8129884128267313,0.49736455107993566,0.2423580786026201
2,DKW Minimax,True,0.8043654001616815,0.515519058930616,0.25
3,Baseline,True,0.8383185125303153,0.45908140446684403,0.23273657289002556
3,SMOTE,True,0.8054432767448128,0.4591732716932093,0.20833333333333331
3,Balanced Weights,True,0.8439773645917542,0.45573408727803566,0.23513870541611626
3,BMR,True,0.8539477229857181,0.39923060975313546,0.19822485207100593
3,Threshold,True,0.8520614389652384,0.41584924581142346,0.21007194244604316
3,Slacks Deltas,True,0.7857720291026677,0.4865256145459247,0.21674876847290642
3,Min Deltas,True,0.7709512260846133,0.5062225246595274,0.2230347349177331
3,Max Deltas,True,0.85987604419294,0.37956197081006915,0.18749999999999997
3,Avg Deltas,True,0.8601455133387227,0.38271191669449944,0.19032761310452417
3,F Deltas,True,0.7709512260846133,0.5062225246595274,0.2230347349177331
3,CP Sum,True,0.8407437348423605,0.45234674391535573,0.22946544980443284
3,CP Minimax,True,0.8097547830773376,0.4719963088440702,0.22075055187637968
3,DKW Sum,True,0.8407437348423605,0.45234674391535573,0.22946544980443284
3,DKW Minimax,True,0.800862301266505,0.48047857848171677,0.2212855637513172
4,Baseline,True,0.8631096739423336,0.37716623669473837,0.18849840255591055
4,SMOTE,True,0.8383185125303153,0.4040385129636942,0.1891891891891892
4,Balanced Weights,True,0.8396658582592293,0.404370535793135,0.1904761904761905
4,BMR,True,0.8676906494206413,0.368619057941254,0.18573797678275292
4,Threshold,True,0.83589329021827,0.41725579414454433,0.19762845849802374
4,Slacks Deltas,True,0.8038264618701159,0.4586970330810311,0.20697167755991283
4,Min Deltas,True,0.7372675828617623,0.5134202448868729,0.21307506053268765
4,Max Deltas,True,0.855564537860415,0.3907558841529359,0.19277108433734938
4,Avg Deltas,True,0.855564537860415,0.3907558841529359,0.19277108433734938
4,F Deltas,True,0.7372675828617623,0.5134202448868729,0.21307506053268765
4,CP Sum,True,0.8547561304230665,0.3905674318226345,0.19190404797601202
4,CP Minimax,True,0.8318512530315278,0.4295139182070284,0.2040816326530612
4,DKW Sum,True,0.8547561304230665,0.3905674318226345,0.19190404797601202
4,DKW Minimax,True,0.8234977095122609,0.4400746200907823,0.20606060606060606
5,Baseline,True,0.8464025869037995,0.403181582384796,0.19491525423728814
5,SMOTE,True,0.8143357585556453,0.46178380491093973,0.2161547212741752
5,Balanced Weights,True,0.8337375370520076,0.41124660591028844,0.1913499344692005
5,BMR,True,0.8652654271085961,0.37764578709401325,0.19093851132686085
5,Threshold,True,0.8647264888170304,0.38374949177189355,0.19551282051282054
5,Slacks Deltas,True,0.7771490164376179,0.49003039483675753,0.21462488129154794
5,Min Deltas,True,0.7846941525195366,0.4840501196587223,0.2143559488692232
5,Max Deltas,True,0.8684990568579898,0.37836397307478276,0.19471947194719472
5,Avg Deltas,True,0.8684990568579898,0.37836397307478276,0.19471947194719472
5,F Deltas,True,0.7846941525195366,0.4840501196587223,0.2143559488692232
5,CP Sum,True,0.847210994341148,0.4033784003522838,0.19574468085106383
5,CP Minimax,True,0.8237671786580436,0.4500828714927668,0.21394230769230768
5,DKW Sum,True,0.847210994341148,0.4033784003522838,0.19574468085106383
5,DKW Minimax,True,0.814874696847211,0.46194154490013845,0.21664766248574688
6,Baseline,True,0.8181083265966047,0.48132694872543874,0.2338251986379115
6,SMOTE,True,0.8334680679062247,0.37357462082164056,0.16260162601626013
6,Balanced Weights,True,0.8132578819725141,0.4219673735207573,0.18566392479435959
6,BMR,True,0.8375101050929669,0.43362494112651073,0.21176470588235294
6,Threshold,True,0.8369711668014013,0.4360771729889216,0.21326397919375814
6,Slacks Deltas,True,0.7623282134195635,0.5463120638175426,0.24744027303754265
6,Min Deltas,True,0.7693344112099164,0.5471564697287221,0.2517482517482517
6,Max Deltas,True,0.8757747237941256,0.370362496919064,0.19546247818499127
6,Avg Deltas,True,0.8755052546483427,0.3735376679929412,0.19791666666666666
6,F Deltas,True,0.7693344112099164,0.5471564697287221,0.2517482517482517
6,CP Sum,True,0.837240635947184,0.4335533090220942,0.21148825065274152
6,CP Minimax,True,0.8043654001616815,0.5114192932178873,0.24688796680497926
6,DKW Sum,True,0.837240635947184,0.4335533090220942,0.21148825065274152
6,DKW Minimax,True,0.7922392886014551,0.5234223470664777,0.24780487804878049
7,Baseline,True,0.8464025869037995,0.39451185826432233,0.18803418803418806
7,SMOTE,True,0.8183777957423874,0.418077458284473,0.18599033816425123
7,Balanced Weights,True,0.8504446240905417,0.3616577381427346,0.16541353383458646
7,BMR,True,0.8606844516302883,0.3766260126360934,0.18582677165354328
7,Threshold,True,0.8178388574508219,0.42836431918487317,0.19331742243436756
7,Slacks Deltas,True,0.8342764753435732,0.4058423815438852,0.18758256274768825
7,Min Deltas,True,0.8178388574508219,0.42836431918487317,0.19331742243436756
7,Max Deltas,True,0.8744273780652115,0.3323125783216866,0.16187050359712227
7,Avg Deltas,True,0.8741579089194287,0.3358796403729547,0.16457960644007158
7,F Deltas,True,0.8178388574508219,0.42836431918487317,0.19331742243436756
7,CP Sum,True,0.8404742656965778,0.4017353043156733,0.18904109589041096
7,CP Minimax,True,0.8175693883050391,0.42829180723866,0.1930870083432658
7,DKW Sum,True,0.8404742656965778,0.4017353043156733,0.18904109589041096
7,DKW Minimax,True,0.809215844785772,0.44839114872479163,0.20270270270270271
8,Baseline,True,0.8628402047965508,0.4322831902649436,0.23458646616541354
8,SMOTE,True,0.8205335489086499,0.45161206035672574,0.2127659574468085
8,Balanced Weights,True,0.8369711668014013,0.41753139245342,0.19867549668874174
8,BMR,True,0.8375101050929669,0.48490884725558064,0.25278810408921937
8,Threshold,True,0.8361627593640528,0.4845053952785358,0.2512315270935961
8,Slacks Deltas,True,0.7685260037725681,0.5322306376858827,0.24049513704686118
8,Min Deltas,True,0.698464025869038,0.547861713416367,0.22345593337959752
8,Max Deltas,True,0.862570735650768,0.43221399727686294,0.23423423423423423
8,Avg Deltas,True,0.862570735650768,0.43221399727686294,0.23423423423423423
8,F Deltas,True,0.698464025869038,0.547861713416367,0.22345593337959752
8,CP Sum,True,0.8364322285098357,0.48458611254611433,0.25154130702836
8,CP Minimax,True,0.8189167340339532,0.503549207274127,0.25167037861915365
8,DKW Sum,True,0.8364322285098357,0.48458611254611433,0.25154130702836
8,DKW Minimax,True,0.8075990299110751,0.5124888363029145,0.24999999999999994
9,Baseline,True,0.8466720560495823,0.4227254599702243,0.21081830790568656
9,SMOTE,True,0.8361627593640528,0.42271276074498765,0.20209973753280838
9,Balanced Weights,True,0.8507140932363244,0.4210294578524585,0.21306818181818182
9,BMR,True,0.8666127728375101,0.37478792788231763,0.18985270049099834
9,Threshold,True,0.861223389921854,0.3890594837078026,0.19656786271450857
9,Slacks Deltas,True,0.8364322285098357,0.4461433020524392,0.22079589216944803
9,Min Deltas,True,0.847210994341148,0.42286331272457195,0.2114047287899861
9,Max Deltas,True,0.5405551064403126,0.5400633223624739,0.19915453264443403
9,Avg Deltas,True,0.5405551064403126,0.5400633223624739,0.19915453264443403
9,F Deltas,True,0.8439773645917542,0.43007330042874053,0.21438263229308005
9,CP Sum,True,0.852600377256804,0.4159838466389688,0.2106782106782107
9,CP Minimax,True,0.8251145243869576,0.4601634358150413,0.2227544910179641
9,DKW Sum,True,0.852600377256804,0.4159838466389688,0.2106782106782107
9,DKW Minimax,True,0.8159525734303422,0.4761431952931864,0.22824858757062147
