dataset,model,seed,mode,n_cert,n_cert_minority,train_ratio,n_features,clf_fit_err,clf_test_err,optimism,method,fit,reason,Accuracy,G-Mean,F1,err_0,err_1,U_0,U_1,delta_0,delta_1,covered_0,covered_1,seconds
MIMIC-III Mortality,GradientBoosting,0,naive,3648,331,10.021148036253777,19,0.38564859048005923,0.46806167400881055,0.08241308352875132,Baseline,True,,0.5319383259911894,0.2932081284985681,0.15841584158415842,0.024229074889867842,0.9118942731277533,,,,,,,
MIMIC-III Mortality,GradientBoosting,0,naive,3648,331,10.021148036253777,19,0.38564859048005923,0.46806167400881055,0.08241308352875132,Threshold,True,,0.6233480176211453,0.5805960168234924,0.5128205128205128,0.14977973568281938,0.6035242290748899,,,,,,,
MIMIC-III Mortality,GradientBoosting,0,naive,3648,331,10.021148036253777,19,0.38564859048005923,0.46806167400881055,0.08241308352875132,SMOTE,True,,0.5440528634361234,0.34226126566110004,0.2099236641221374,0.03303964757709251,0.8788546255506607,,,,,,,
MIMIC-III Mortality,GradientBoosting,0,naive,3648,331,10.021148036253777,19,0.38564859048005923,0.46806167400881055,0.08241308352875132,Balanced Weights,False,,,,,,,,,,,,,
MIMIC-III Mortality,GradientBoosting,0,naive,3648,331,10.021148036253777,19,0.38564859048005923,0.46806167400881055,0.08241308352875132,Slacks Deltas,False,,,,,,,,,,,,,118.428
MIMIC-III Mortality,GradientBoosting,0,naive,3648,331,10.021148036253777,19,0.38564859048005923,0.46806167400881055,0.08241308352875132,Min Deltas,True,,0.6519823788546255,0.63294859231282,0.587467362924282,0.19162995594713655,0.5044052863436124,,,,,,,8.573
MIMIC-III Mortality,GradientBoosting,0,naive,3648,331,10.021148036253777,19,0.38564859048005923,0.46806167400881055,0.08241308352875132,F Deltas,True,,0.6244493392070485,0.5769075265951011,0.5065123010130246,0.13656387665198239,0.6145374449339207,,,,,,,0.039
MIMIC-III Mortality,GradientBoosting,0,naive,3648,331,10.021148036253777,19,0.38564859048005923,0.46806167400881055,0.08241308352875132,CP Sum,True,,0.6233480176211453,0.5805960168234924,0.5128205128205128,0.14977973568281938,0.6035242290748899,0.13813839855542787,0.3715330293450481,0.0014994997498749376,0.009995247623811907,False,False,0.418
MIMIC-III Mortality,GradientBoosting,0,naive,3648,331,10.021148036253777,19,0.38564859048005923,0.46806167400881055,0.08241308352875132,CP Minimax,True,,0.6552863436123348,0.6500596723953174,0.6242496998799519,0.2621145374449339,0.42731277533039647,0.27259862816625163,0.2686143326795611,0.0019992496248124065,0.007996248124062032,True,False,0.415
MIMIC-III Mortality,GradientBoosting,0,naive,3648,331,10.021148036253777,19,0.38564859048005923,0.46806167400881055,0.08241308352875132,DKW Sum,True,,0.6233480176211453,0.5805960168234924,0.5128205128205128,0.14977973568281938,0.6035242290748899,0.13902888944883987,0.34616615197178163,0.002998749374687344,0.013993246623311658,False,False,0.119
MIMIC-III Mortality,GradientBoosting,0,naive,3648,331,10.021148036253777,19,0.38564859048005923,0.46806167400881055,0.08241308352875132,DKW Minimax,True,,0.6563876651982379,0.6510291877325521,0.625,0.2599118942731278,0.42731277533039647,0.26254082049486643,0.2535694423532152,0.003498499249624813,0.012493996998499252,True,False,0.118
MIMIC-III Mortality,GradientBoosting,0,split,1277,116,10.021148036253777,19,0.3302325581395349,0.4614537444933921,0.1312211863538572,Baseline,True,,0.538546255506608,0.3050322823563311,0.1702970297029703,0.01762114537444934,0.9052863436123348,,,,,,,
MIMIC-III Mortality,GradientBoosting,0,split,1277,116,10.021148036253777,19,0.3302325581395349,0.4614537444933921,0.1312211863538572,Threshold,True,,0.6266519823788547,0.5736606434090654,0.5007363770250368,0.1211453744493392,0.6255506607929515,,,,,,,
MIMIC-III Mortality,GradientBoosting,0,split,1277,116,10.021148036253777,19,0.3302325581395349,0.4614537444933921,0.1312211863538572,SMOTE,True,,0.5572687224669604,0.37775812020921185,0.25,0.03303964757709251,0.8524229074889867,,,,,,,
MIMIC-III Mortality,GradientBoosting,0,split,1277,116,10.021148036253777,19,0.3302325581395349,0.4614537444933921,0.1312211863538572,Balanced Weights,False,,,,,,,,,,,,,
MIMIC-III Mortality,GradientBoosting,0,split,1277,116,10.021148036253777,19,0.3302325581395349,0.4614537444933921,0.1312211863538572,Slacks Deltas,False,,,,,,,,,,,,,7.201
MIMIC-III Mortality,GradientBoosting,0,split,1277,116,10.021148036253777,19,0.3302325581395349,0.4614537444933921,0.1312211863538572,Min Deltas,False,,,,,,,,,,,,,0.0
MIMIC-III Mortality,GradientBoosting,0,split,1277,116,10.021148036253777,19,0.3302325581395349,0.4614537444933921,0.1312211863538572,F Deltas,False,,,,,,,,,,,,,0.0
MIMIC-III Mortality,GradientBoosting,0,split,1277,116,10.021148036253777,19,0.3302325581395349,0.4614537444933921,0.1312211863538572,CP Sum,True,,0.6310572687224669,0.6199569973549369,0.581772784019975,0.2511013215859031,0.486784140969163,0.3225652014451813,0.6201068367216018,0.00449799899949975,0.03048499249624813,True,True,1.492
MIMIC-III Mortality,GradientBoosting,0,split,1277,116,10.021148036253777,19,0.3302325581395349,0.4614537444933921,0.1312211863538572,CP Minimax,True,,0.6310572687224669,0.6283519828605036,0.6514047866805411,0.42731277533039647,0.31057268722466963,0.5015088933228635,0.5030380503314444,0.006496998499249626,0.024487993996998504,True,True,1.475
MIMIC-III Mortality,GradientBoosting,0,split,1277,116,10.021148036253777,19,0.3302325581395349,0.4614537444933921,0.1312211863538572,DKW Sum,True,,0.6310572687224669,0.6199569973549369,0.581772784019975,0.2511013215859031,0.486784140969163,0.30841574870410254,0.5740200533877049,0.006496998499249626,0.04147948974487244,True,True,0.033
MIMIC-III Mortality,GradientBoosting,0,split,1277,116,10.021148036253777,19,0.3302325581395349,0.4614537444933921,0.1312211863538572,DKW Minimax,True,,0.6321585903083701,0.6306217792970236,0.6476793248945147,0.4118942731277533,0.3237885462555066,0.4688154321646374,0.45829823043926105,0.00899574787393697,0.03148449224612306,True,True,0.034
MIMIC-III Mortality,GradientBoosting,1,naive,3648,331,10.021148036253777,19,0.37613293051359514,0.46696035242290745,0.09082742190931231,Baseline,True,,0.5330396475770925,0.2724519135870701,0.13821138211382114,0.00881057268722467,0.9251101321585903,,,,,,,
MIMIC-III Mortality,GradientBoosting,1,naive,3648,331,10.021148036253777,19,0.37613293051359514,0.46696035242290745,0.09082742190931231,Threshold,True,,0.6409691629955947,0.6198983013488703,0.5710526315789474,0.1960352422907489,0.5220264317180616,,,,,,,
MIMIC-III Mortality,GradientBoosting,1,naive,3648,331,10.021148036253777,19,0.37613293051359514,0.46696035242290745,0.09082742190931231,SMOTE,True,,0.552863436123348,0.3760331882739339,0.24814814814814815,0.04185022026431718,0.8524229074889867,,,,,,,
MIMIC-III Mortality,GradientBoosting,1,naive,3648,331,10.021148036253777,19,0.37613293051359514,0.46696035242290745,0.09082742190931231,Balanced Weights,False,,,,,,,,,,,,,
MIMIC-III Mortality,GradientBoosting,1,naive,3648,331,10.021148036253777,19,0.37613293051359514,0.46696035242290745,0.09082742190931231,Slacks Deltas,False,,,,,,,,,,,,,118.988
MIMIC-III Mortality,GradientBoosting,1,naive,3648,331,10.021148036253777,19,0.37613293051359514,0.46696035242290745,0.09082742190931231,Min Deltas,True,,0.6354625550660793,0.6161970548279355,0.5684485006518905,0.2092511013215859,0.5198237885462555,,,,,,,8.334
