dataset,model,seed,mode,method,optimism,n_cert,n_cert_minority,test_per_class,cls,covered,U,delta,nominal
Abalone Gender,GradientBoosting,0,naive,CP Sum,0.224993111049876,840,76,764,0,0.0,0.0489139788289576,0.0019992496248124,0.9980007503751877
Abalone Gender,GradientBoosting,0,naive,CP Minimax,0.224993111049876,840,76,764,0,0.0,0.0973330405332899,0.0029987493746873,0.9970012506253128
Abalone Gender,GradientBoosting,0,naive,DKW Sum,0.224993111049876,840,76,764,0,0.0,0.0748816291804444,0.0059972486243121,0.9940027513756879
Abalone Gender,GradientBoosting,0,naive,DKW Minimax,0.224993111049876,840,76,764,0,0.0,0.165626329110021,0.006996748374187,0.993003251625813
Abalone Gender,GradientBoosting,0,split,CP Sum,0.3923362538732771,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,GradientBoosting,0,split,CP Minimax,0.3923362538732771,294,27,764,0,1.0,0.688277102087895,0.0214894947473736,0.9785105052526264
Abalone Gender,GradientBoosting,0,split,DKW Sum,0.3923362538732771,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,GradientBoosting,0,split,DKW Minimax,0.3923362538732771,294,27,764,0,1.0,0.6024326686342103,0.0279862431215607,0.9720137568784393
Abalone Gender,GradientBoosting,1,naive,CP Sum,0.1973684210526315,840,76,764,0,0.0,0.044774477761494,0.0019992496248124,0.9980007503751877
Abalone Gender,GradientBoosting,1,naive,CP Minimax,0.1973684210526315,840,76,764,0,0.0,0.1722526657474642,0.0034984992496248,0.9965015007503752
Abalone Gender,GradientBoosting,1,naive,DKW Sum,0.1973684210526315,840,76,764,0,0.0,0.072263828133324,0.0059972486243121,0.9940027513756879
Abalone Gender,GradientBoosting,1,naive,DKW Minimax,0.1973684210526315,840,76,764,0,0.0,0.2075111458639477,0.006996748374187,0.993003251625813
