dataset,model,seed,mode,n_cert,n_cert_minority,train_ratio,n_features,clf_fit_err,clf_test_err,optimism,method,fit,Accuracy,G-Mean,F1,err_0,err_1,U_0,U_1,delta_0,delta_1,covered_0,covered_1
Cervical Cancer,GradientBoosting,0,naive,428,27,14.851851851851851,32,0.1111111111111111,0.5,0.3888888888888889,Baseline,True,0.5,0.0,0.0,0.0,1.0,,,,,,
Cervical Cancer,GradientBoosting,0,naive,428,27,14.851851851851851,32,0.1111111111111111,0.5,0.3888888888888889,Threshold,True,0.5714285714285714,0.44607128559988557,0.3333333333333333,0.07142857142857142,0.7857142857142857,,,,,,
Cervical Cancer,GradientBoosting,0,naive,428,27,14.851851851851851,32,0.1111111111111111,0.5,0.3888888888888889,SMOTE,True,0.5178571428571429,0.18898223650461363,0.0689655172413793,0.0,0.9642857142857143,,,,,,
Cervical Cancer,GradientBoosting,0,naive,428,27,14.851851851851851,32,0.1111111111111111,0.5,0.3888888888888889,Balanced Weights,False,,,,,,,,,,,
Cervical Cancer,GradientBoosting,0,naive,428,27,14.851851851851851,32,0.1111111111111111,0.5,0.3888888888888889,Slacks Deltas,True,0.5892857142857143,0.524890659167824,0.4390243902439025,0.14285714285714285,0.6785714285714286,,,,,,
Cervical Cancer,GradientBoosting,0,naive,428,27,14.851851851851851,32,0.1111111111111111,0.5,0.3888888888888889,Min Deltas,True,0.5892857142857143,0.524890659167824,0.4390243902439025,0.14285714285714285,0.6785714285714286,,,,,,
Cervical Cancer,GradientBoosting,0,naive,428,27,14.851851851851851,32,0.1111111111111111,0.5,0.3888888888888889,F Deltas,True,0.6071428571428571,0.5357142857142858,0.45000000000000007,0.10714285714285714,0.6785714285714286,,,,,,
Cervical Cancer,GradientBoosting,0,naive,428,27,14.851851851851851,32,0.1111111111111111,0.5,0.3888888888888889,CP Sum,True,0.5714285714285714,0.44607128559988557,0.3333333333333333,0.07142857142857142,0.7857142857142857,0.05128710314195042,0.3371958296778045,0.002998749374687344,0.04447798899449725,False,False
Cervical Cancer,GradientBoosting,0,naive,428,27,14.851851851851851,32,0.1111111111111111,0.5,0.3888888888888889,CP Minimax,True,0.5714285714285714,0.5428101483418094,0.4782608695652174,0.25,0.6071428571428571,0.21171211800702053,0.21891486438860197,0.005997248624312156,0.03548249124562282,False,False
Cervical Cancer,GradientBoosting,0,naive,428,27,14.851851851851851,32,0.1111111111111111,0.5,0.3888888888888889,DKW Sum,True,0.5714285714285714,0.44607128559988557,0.3333333333333333,0.07142857142857142,0.7857142857142857,0.08661753697396112,0.3062158874071086,0.00899574787393697,0.05447298649324663,True,False
