method,avg rank,mean G-Mean,cells solved,cells
DKW Minimax,3.252232142857143,0.7163987785934012,224,224
CP Minimax,3.4754464285714284,0.7155638317064615,224,224
Min Deltas,4.75,0.7074036508321152,204,224
SMOTE,5.080357142857143,0.6757635255249499,224,224
F Deltas,5.28125,0.6973656674487632,204,224
Slacks Deltas,6.098214285714286,0.7116815785797675,171,224
Threshold,6.417410714285714,0.6592369538639071,224,224
DKW Sum,6.723214285714286,0.6472631561793099,224,224
CP Sum,7.122767857142857,0.6247746477699156,224,224
Baseline,8.761160714285714,0.4705274807683254,224,224
Balanced Weights,9.037946428571429,0.6082816058206965,96,224
